User’s name,User’s Email,User’s Phone number,User roles
Cain Beard,jurepah@mailinator.com,0784674534,Teacher
Alea Vance,maba@mailinator.com,0894657432,Director
Hector Chambers,fetokakita@mailinator.com,0857485735,Director
Quemby Reid,dojyxowa@mailinator.com,0743637432,Director
Sylvester Morse,qogewylyhe@mailinator.com,0847583723,Director
Henry Schroeder,fowu@mailinator.com,0894656432,Director
Elton Clements,hysafete@mailinator.com,07483644232,Director
Bradley Sparks,zyzorigyca@mailinator.com,0748442346,Director
Hyatt Spence,pagusycobo@mailinator.com,0748364232,Director
Quinn Burnett,hukalel@mailinator.com,07483442562,Director
Lesley Curry,kakal@mailinator.com,0857454345,Bursar
Madonna Clayton,qaceguny@mailinator.com,0748573534,Teacher


